es_id	usergroupid	alipayid	data_date
ATTRITUBE_U_05_001_069_2088302554713525	ATTRITUBE_U_05_001_069	2088302554713525	2020-11-05
ATTRITUBE_U_05_001_069_2088602259892252	ATTRITUBE_U_05_001_069	2088602259892252	2020-11-05
ATTRITUBE_U_05_001_069_2088702105597211	ATTRITUBE_U_05_001_069	2088702105597211	2020-11-05
ATTRITUBE_U_05_001_069_2088802057399494	ATTRITUBE_U_05_001_069	2088802057399494	2020-11-05
ATTRITUBE_U_05_001_093_0000000000000000	ATTRITUBE_U_05_001_093	0000000000000000	2020-11-05
ATTRITUBE_U_05_001_115_2088102162733131	ATTRITUBE_U_05_001_115	2088102162733131	2020-11-05
ATTRITUBE_U_05_001_115_2088102169193934	ATTRITUBE_U_05_001_115	2088102169193934	2020-11-05
ATTRITUBE_U_05_001_115_2088302344017767	ATTRITUBE_U_05_001_115	2088302344017767	2020-11-05
CONSUME_U_01_003_002_2088022779838008	CONSUME_U_01_003_002	2088022779838008	2020-11-05
CONSUME_U_02_002_002_2088102078688534	CONSUME_U_02_002_002	2088102078688534	2020-11-05
CONSUME_U_02_002_002_2088602259892252	CONSUME_U_02_002_002	2088602259892252	2020-11-05
CONSUME_U_03_001_002_2088602259892252	CONSUME_U_03_001_002	2088602259892252	2020-11-05
